Symbol,Company,Market,Industry,Sector,MySector,ESector,SET50,SET100
CEN-W2,CAPITAL ENGINEERING NETWORK PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
CEN-W3,CAPITAL ENGINEERING NETWORK PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
CEN-W4,CAPITAL ENGINEERING NETWORK PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
CFRESH,SEAFRESH INDUSTRY PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,Food,FOOD,,
CGD,COUNTRY GROUP DEVELOPMENT PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,Broker,ZNOT,,
CGD-W2,COUNTRY GROUP DEVELOPMENT PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CGD-W3,COUNTRY GROUP DEVELOPMENT PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CGD-W4,COUNTRY GROUP DEVELOPMENT PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CGH,COUNTRY GROUP HOLDINGS PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
CGH-W1,COUNTRY GROUP HOLDINGS PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
CGH-W2,COUNTRY GROUP HOLDINGS PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
CGH-W3,COUNTRY GROUP HOLDINGS PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
CGS,COUNTRY GROUP SECURITIES PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
CGS-W5,COUNTRY GROUP SECURITIES PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
CHARAN,CHARAN INSURANCE PUBLIC COMPANY LIMITED,SET,Financials,Insurance,ZNOT,INSUR,,
CHAYO,CHAYO GROUP PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CHEWA,CHEWATHAI PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CHEWA-W1,CHEWATHAI PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CHG,CHULARAT HOSPITAL PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,Health Care,HELTH,,1
CHO,CHO THAVEE DOLLASIEN PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CHOTI,"KIANG HUAT SEA GULL TRADING FROZEN FOOD PUBLIC CO., LTD.",SET,Agro & Food Industry,Agribusiness,Agribusiness,AGRI,,
CHOW,CHOW STEEL INDUSTRIES PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CHO-W1,CHO THAVEE DOLLASIEN PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CHO-W2,CHO THAVEE DOLLASIEN PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CHUO,CHUO SENKO (THAILAND) PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CI,CHARN ISSARA DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
CIG,C.I.GROUP PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CIG-W2,C.I.GROUP PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CIG-W3,C.I.GROUP PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CIG-W4,C.I.GROUP PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CIG-W5,C.I.GROUP PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CIG-W6,C.I.GROUP PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CIG-W7,C.I.GROUP PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CIMBI,CIMB SECURITIES INTERNATIONAL (THAILAND) PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,ZNOT,,
CIMBT,CIMB THAI BANK PUBLIC COMPANY LIMITED,SET,Financials,Banking,BankSmall,BANK,,
CITY,CITY STEEL PUBLIC COMPANY LIMITED,SET,Industrials,Steel,Steel,STEEL,,
CI-W1,CHARN ISSARA DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
CK,CH. KARNCHANG PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,1
CKP,CK POWER PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,Energy,ENERG,,1
CKP-W1,CK POWER PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,Energy,ENERG,,
CM,CHIANGMAI FROZEN FOODS PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,Agribusiness,AGRI,,
CMAN,CHEMEMAN PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,Petro,PETRO,,
CMC,CHAOPRAYAMAHANAKORN PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CMO,CMO PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CMO-W1,CMO PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CMR,CHIANG MAI RAM MEDICAL BUSINESS PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,ZNOT,HELTH,,
CNS,CAPITAL NOMURA SECURITIES PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
CNT,CHRISTIANI & NIELSEN (THAI) PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
COL,COL PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
COLOR,SALEE COLOUR PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
COLOR-W1,SALEE COLOUR PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
COM7,COM7 PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,1
COMAN,COMANCHE INTERNATIONAL PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
