Symbol,Company,Market,Industry,Sector,MySector,ESector,SET50,SET100
ESTAR,EASTERN STAR REAL ESTATE PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
ETE,EASTERN TECHNICAL ENGINEERING PUBLIC COMPANY,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
EUREKA,EUREKA DESIGN PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
EVER,EVERLAND PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
EVER-W1,EVERLAND PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
EVER-W2,EVERLAND PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
EVER-W3,EVERLAND PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
E-W1,EVOLUTION CAPITAL PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
E-W2,EVOLUTION CAPITAL PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,Leasing,ZNOT,,
E-W3,EVOLUTION CAPITAL PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,Leasing,ZNOT,,
E-W4,EVOLUTION CAPITAL PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,Leasing,ZNOT,,
F&D,FOOD AND DRINKS PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,ZNOT,FOOD,,
FANCY,FANCY WOOD INDUSTRIES PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,ZNOT,HOME,,
FC,FOOD CAPITALS PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
FC-W1,FOOD CAPITALS PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
FC-W2,FOOD CAPITALS PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
FE,FAR EAST DDB PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,ZNOT,MEDIA,,
FER,FERRUM PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,,
FER-W1,FERRUM PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,,
FER-W2,FERRUM PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,,
FER-W3,FERRUM PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,,
FIRE,FIRE VICTOR PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
FLOYD,FLOYD PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
FMT,FURUKAWA METAL (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,ZNOT,IMM,,
FN,FN FACTORY OUTLET PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
FNS,FINANSA PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
FOCUS,FOCUS DEVELOPMENT AND CONSTRUCTION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,Construction,ZNOT,,
FOCUS-W1,FOCUS DEVELOPMENT AND CONSTRUCTION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
FOCUS-W2,FOCUS DEVELOPMENT AND CONSTRUCTION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
FORTH,FORTH CORPORATION PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ZNOT,ICT,,
FPI,FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
FPI-W1,FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
FPT,FRASERS PROPERTY (THAILAND) PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
FSMART,FORTH SMART SERVICE PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
FSS,FINANSIA SYRUS SECURITIES PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
FTE,FIRETRADE ENGINEERING PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
FTREIT,FRASERS PROPERTY THAILAND INDUSTRIAL FREEHOLD & LEASEHOLD REIT,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
FUTUREPF,FUTURE PARK LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
FVC,FILTER VISION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
FVC-W1,FILTER VISION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
FVC-W2,FILTER VISION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
GAHREIT,GRANDE HOSPITALITY REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
GBX,GLOBLEX HOLDING MANAGEMENT PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
GC,GLOBAL CONNECTIONS PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,ZNOT,PETRO,,
GCAP,G CAPITAL PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
GEL,GENERAL ENGINEERING PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,ConMat,CONMAT,,
GEL-W3,GENERAL ENGINEERING PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,ConMat,CONMAT,,
GEL-W4,GENERAL ENGINEERING PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,ConMat,CONMAT,,
GEN,GENERAL ENGINEERING PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,ConMat,CONMAT,,
GENCO,"GENERAL ENVIRONMENTAL CONSERVATION PUBLIC CO., LTD.",SET,Services,Professional Services,Professional,PROF,,
GENCO-W1,"GENERAL ENVIRONMENTAL CONSERVATION PUBLIC CO., LTD.",SET,Services,Professional Services,Professional,PROF,,
GEN-W3,GENERAL ENGINEERING PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,ConMat,CONMAT,,
GEN-W4,GENERAL ENGINEERING PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,ConMat,CONMAT,,
GFM,GOLDFINE MANUFACTURERS PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
GFPT,GFPT PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,Agribusiness,AGRI,,1
GGC,GLOBAL GREEN CHEMICALS PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,Petro,PETRO,,
GIFT,GRATITUDE INFINITE PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
GIFT-W1,GRATITUDE INFINITE PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
GJS,G J STEEL PUBLIC COMPANY LIMITED,SET,Industrials,Steel,Steel,STEEL,,
GJS-W2,G J STEEL PUBLIC COMPANY LIMITED,SET,Industrials,Steel,Steel,STEEL,,
GJS-W3,G J STEEL PUBLIC COMPANY LIMITED,SET,Industrials,Steel,Steel,STEEL,,
GL,GROUP LEASE PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,,
GLAND,GRAND CANAL LAND PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
GLANDRT,GLAND OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
GLAND-W1,GRAND CANAL LAND PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
GLAND-W2,GRAND CANAL LAND PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
GLAND-W3,GRAND CANAL LAND PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
GLAND-W4,GRAND CANAL LAND PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
GLOBAL,SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,1,1
GLOBAL-W,SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,SET,Services,Commerce,ZNOT,COMM,,
GLOW,GLOW ENERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,Energy,ENERG,,
GL-W2,GROUP LEASE PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,,
GL-W3,GROUP LEASE PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,,
GL-W4,GROUP LEASE PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,,
GOLD,GOLDEN LAND PROPERTY DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
GOLDPF,GOLD PROPERTY FUND (LEASE HOLD),SET,Property & Construction,Property Fund,ZNOT,PFUND,,
GOLD-W1,GOLD PROPERTY FUND (LEASE HOLD),SET,Property & Construction,Property Fund,ZNOT,PFUND,,
GPI,GRAND PRIX INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,Media,MEDIA,,
GPSC,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,Energy,ENERG,1,1
GRAMMY,GMM GRAMMY PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,Media,MEDIA,,
GRAND,GRANDE ASSET HOTELS AND PROPERTY PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,Tourism,TOURISM,,
GREEN,GREEN RESOURCES PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,Tourism,TOURISM,,
GREEN-W2,GREEN RESOURCES PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,Tourism,TOURISM,,
GREEN-W4,GREEN RESOURCES PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,Tourism,TOURISM,,
GSC,GLOBAL SERVICE CENTER PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
GSTEEL,G STEEL PUBLIC COMPANY LIMITED,SET,Industrials,Steel,Steel,ZNOT,,
GSTEEL-W,G STEEL PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,ZNOT,,
GSTEL,G STEEL PUBLIC COMPANY LIMITED,SET,Industrials,Steel,Steel,STEEL,,
GSTEL-W1,G STEEL PUBLIC COMPANY LIMITED,SET,Industrials,Steel,Steel,STEEL,,
GSTEL-W2,G STEEL PUBLIC COMPANY LIMITED,SET,Industrials,Steel,Steel,STEEL,,
GTB,GETABEC PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
GULF,GULF ENERGY DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,Energy,ENERG,1,1
GUNKUL,GUNKUL ENGINEERING PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,Energy,ENERG,,1
GUNKUL-W,GUNKUL ENGINEERING PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,Energy,ENERG,,
GVREIT,GOLDEN VENTURES LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
GYT,GOODYEAR (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,ZNOT,AUTO,,
HANA,HANA MICROELECTRONICS PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,Electronic,ETRON,,1
HARN,HARN ENGINEERING SOLUTIONS PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
HEMRAJ,HEMARAJ LAND AND DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,Industrial Park,PROP,,
HFT,HWA FONG RUBBER (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,Automotive,AUTO,,
HMPRO,HOME PRODUCT CENTER PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,1,1
HOTPOT,HOT POT PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
HPF,HEMARAJ INDUSTRIAL PROPERTY AND LEASEHOLD FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
HPT,HOME POTTERY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
HPT-W1,HOME POTTERY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
HREIT,HEMARAJ LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
HTC,HAAD THIP PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,Food,FOOD,,
HTECH,HALCYON TECHNOLOGY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
HUMAN,HUMANICA PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,,
HYDRO,HYDROTEK PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ICC,I.C.C. INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
ICHI,ICHI  PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,Food,FOOD,,
ICN,INFORMATION AND COMMUNICATION NETWORKS PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
IEC,THE INTERNATIONAL ENGINEERING PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ZNOT,ICT,,
IEC-W1,THE INTERNATIONAL ENGINEERING PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ZNOT,ICT,,
IEC-W2,THE INTERNATIONAL ENGINEERING PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ZNOT,ICT,,
IFEC,INTER FAR EAST ENGINEERING PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,HomeOffice,HOME,,
IFEC-W1,INTER FAR EAST ENGINEERING PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,HomeOffice,HOME,,
IFEC-W2,INTER FAR EAST ENGINEERING PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,HomeOffice,HOME,,
IFS,IFS CAPITAL (THAILAND) PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,,
IHL,INTERHIDES PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,ZNOT,AUTO,,
IHL-W1,INTERHIDES PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,ZNOT,AUTO,,
III,TRIPLE I LOGISTICS PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,Transport,TRANS,,
ILINK,INTERLINK COMMUNICATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ILINK-W1,INTERLINK COMMUNICATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ILM,INDEX LIVING MALL PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
IMPACT,IMPACT GROWTH REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
INET,INTERNET THAILAND PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,,
INGRS,INGRESS INDUSTRIAL (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,Automotive,AUTO,,
INOX,POSCO-THAINOX PUBLIC COMPANY LIMITED,SET,Industrials,Steel,Steel,STEEL,,
INSURE,INDARA INSURANCE PUBLIC COMPANY LIMITED,SET,Financials,Insurance,ZNOT,INSUR,,
INTUCH,SHIN CORPORATION PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,1,1
IRC,INOUE RUBBER (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,ZNOT,AUTO,,
IRCP,"INTERNATIONAL RESEARCH CORPORATION PUBLIC CO., LTD.",mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
IRCP-W2,"INTERNATIONAL RESEARCH CORPORATION PUBLIC CO., LTD.",mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
IRPC,IRPC PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,Refinery,ENERG,1,1
IT,IT CITY PUBLIC COMPANY LIMITED,SET,Services,Commerce,ZNOT,COMM,,
ITD,ITALIAN-THAI DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
ITD-W1,ITALIAN-THAI DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
ITEL,INTERLINK TELECOM PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ITEL-W1,INTERLINK TELECOM PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
IVL,INDORAMA VENTURES PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,Petro,PETRO,1,1
IVL-W1,INDORAMA VENTURES PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,Petro,PETRO,,
IVL-W2,INDORAMA VENTURES PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,Petro,PETRO,,
J,JAS ASSET PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
JAS,JASMINE INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,,1
JASIF,JASMINE BROADBAND INTERNET INFRASTRUCTURE FUND,SET,Technology,Information & Communication Technology,ICT,ICTFUND,,
JAS-W3,JASMINE INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,,
JCK,JCK INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
JCKH,JCK HOSPITALITY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
JCK-W4,JCK INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
JCK-W5,JCK INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
JCP,JC LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
JCT,JACK CHIA INDUSTRIES (THAILAND) PUBLIC COMPANY LIMITED,SET,Consumer Products,Personal Products & Pharmaceuticals,ZNOT,PERSON,,
JKN,JKN GLOBAL MEDIA PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
JKN-W1,JKN GLOBAL MEDIA PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
JMART,JAY MART PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,,
JMART-W1,JAY MART PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ZNOT,ICT,,
JMART-W2,JAY MART PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ZNOT,ICT,,
JMT,JMT NETWORK SERVICES PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,FIN,FIN,,1
JMT-W1,JMT NETWORK SERVICES PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,FIN,FIN,,
JMT-W2,JMT NETWORK SERVICES PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,FIN,FIN,,
JSP,J.S.P. PROPERTY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
JTS,JASMINE TELECOM SYSTEMS PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,,
JUBILE,JUBILEE ENTERPRISE PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
JUTHA,JUTHA MARITIME PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,ZNOT,TRANS,,
J-W1,JAS ASSET PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
JWD,JWD INFOLOGISTICS PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,Transport,TRANS,,
K,KINGSMEN C.M.T.I. PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
KAMART,KARMARTS PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
KAMART-W,KARMARTS PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
KASET,THAI HA PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
KBANK,KASIKORNBANK PUBLIC COMPANY LIMITED,SET,Financials,Banking,BankBig,BANK,1,1
KBS,KHONBURI SUGAR PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,Food,FOOD,,
KC,K.C. PROPERTY PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
KCAR,KRUNGTHAI CAR RENT AND LEASE PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,,
KCE,KCE ELECTRONICS PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,Electronic,ETRON,,1
KCE-W2,KCE ELECTRONICS PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,Electronic,ETRON,,
KCM,K.C. METALSHEET PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
KDH,KRUNGDHON HOSPITAL PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,ZNOT,HELTH,,
KGI,KGI SECURITIES (THAILAND) PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
KH,BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,Health Care,ZNOT,,
KIAT,KIATTANA TRANSPORT PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
KIAT-W1,KIATTANA TRANSPORT PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
KK,KIATNAKIN BANK PUBLIC COMPANY LIMITED,SET,Financials,Banking,BankSmall,BANK,,
KKC,KULTHORN KIRBY PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,ZNOT,IMM,,
KKP,KIATNAKIN BANK PUBLIC COMPANY LIMITED,SET,Financials,Banking,BankSmall,BANK,1,1
KMC,KRISDAMAHANAKORN PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
KMC-W2,KRISDAMAHANAKORN PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
KMC-W3,KRISDAMAHANAKORN PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
KOOL,MASTERKOOL INTERNATIONAL PUBLIC COMPANY,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
KPNPF,KPN PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
KSL,KHON KAEN SUGAR INDUSTRY PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,Food,FOOD,,
KSL-W1,KHON KAEN SUGAR INDUSTRY PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,ZNOT,FOOD,,
KTB,KRUNG THAI BANK PUBLIC COMPANY LIMITED,SET,Financials,Banking,BankBig,BANK,1,1
KTC,KRUNGTHAI CARD PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,1,1
KTECH,KTECH CONSTRUCTION PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
KTIS,KASET THAI INTERNATIONAL SUGAR CORPORATION PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,Food,FOOD,,
KTP,KEPPEL THAI PROPERTIES PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
KUMWEL,KUMWELL CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
KWC,KRUNGDHEP SOPHON PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,ZNOT,TRANS,,
KWG,KING WAI GROUP (THAILAND) PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,Industrial Park,PROP,,
KWH,WIIK & HOEGLUND PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,ZNOT,CONMAT,,
KWM,K. W. METAL WORK PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
KYE,KANG YONG ELECTRIC PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,HomeOffice,HOME,,
L&E,LIGHTING & EQUIPMENT PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
L&E-W2,LIGHTING & EQUIPMENT PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
L&E-W3,LIGHTING & EQUIPMENT PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
LALIN,LALIN PROPERTY PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
LANNA,THE LANNA RESOURCES PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,Energy,ENERG,,
LDC,LDC DENTAL PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
LEE,LEE FEED MILL PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,ZNOT,AGRI,,
LEE-W2,LEE FEED MILL PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,ZNOT,AGRI,,
LH,LAND AND HOUSES PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,1,1
LHBANK,LH FINANCIAL GROUP PUBLIC COMPANY LIMITED,SET,Financials,Banking,BankSmall,BANK,,
LHFG,LH FINANCIAL GROUP PUBLIC COMPANY LIMITED,SET,Financials,Banking,BankBig,BANK,,
LHHOTEL,LH HOTEL LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
LHK,LOHAKIT METAL PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
LHPF,LAND AND HOUSES FREEHOLD AND LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
LHSC,LH SHOPPING CENTERS LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
