Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D
7/15/2019,CHO-W2,0.31,0.36,0.28,0.33,0.0,118343807,37347950,37347950,37347950.0,37347950.0
7/17/2019,CHO-W2,0.35,0.39,0.33,0.38,15.15,168479881,61354140,98702090,98702090.0,98702090.0
7/18/2019,CHO-W2,0.38,0.41,0.34,0.35,-7.89,122416790,46444890,145146980,145146980.0,145146980.0
7/19/2019,CHO-W2,0.35,0.36,0.34,0.34,-2.86,29639924,10338780,155485760,155485760.0,155485760.0
7/22/2019,CHO-W2,0.34,0.37,0.34,0.34,0.0,32740602,11491470,166977230,166977230.0,166977230.0
7/23/2019,CHO-W2,0.34,0.37,0.34,0.35,2.94,46401628,16514190,146143470,183491420.0,183491420.0
7/24/2019,CHO-W2,0.35,0.37,0.33,0.34,-2.86,13590150,4716290,89505620,188207710.0,188207710.0
7/25/2019,CHO-W2,0.34,0.34,0.29,0.3,-11.76,15752075,4943280,48004010,193150990.0,193150990.0
7/26/2019,CHO-W2,0.3,0.32,0.29,0.29,-3.33,45562575,14000030,51665260,207151020.0,207151020.0
7/30/2019,CHO-W2,0.29,0.31,0.27,0.28,-3.45,18440065,5352320,45526110,212503340.0,212503340.0
7/31/2019,CHO-W2,0.28,0.29,0.26,0.27,-3.57,14658505,4013010,33024930,216516350.0,216516350.0
8/1/2019,CHO-W2,0.27,0.28,0.26,0.27,0.0,11718450,3153470,31462110,219669820.0,219669820.0
8/2/2019,CHO-W2,0.27,0.28,0.25,0.25,-7.41,17841077,4660420,31179250,224330240.0,224330240.0
8/5/2019,CHO-W2,0.25,0.26,0.23,0.23,-8.0,17100350,4145390,21324610,191127680.0,228475630.0
8/6/2019,CHO-W2,0.23,0.24,0.22,0.23,0.0,11053805,2539220,18511510,132312760.0,231014850.0
8/7/2019,CHO-W2,0.23,0.25,0.23,0.24,4.35,17734950,4294270,18792770,90162140.0,235309120.0
8/8/2019,CHO-W2,0.24,0.24,0.22,0.22,-8.33,11852965,2676010,18315310,82499370.0,237985130.0
8/9/2019,CHO-W2,0.22,0.22,0.17,0.19,-13.64,30428598,6078160,19733050,77086060.0,244063290.0
8/13/2019,CHO-W2,0.19,0.19,0.18,0.18,-5.26,4410680,795760,16383420,61367630.0,244859050.0
8/14/2019,CHO-W2,0.19,0.19,0.15,0.17,-5.56,11155450,1907650,15751850,58558990.0,246766700.0
