Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D
7/17/2019,DOD-W1,3.06,3.24,1.99,2.1,2000.0,176292201,465851950,465851950,465851950.0,465851950.0
7/18/2019,DOD-W1,2.2,2.62,2.12,2.62,24.76,155908204,364571740,830423690,830423690.0,830423690.0
7/19/2019,DOD-W1,2.66,2.86,2.66,2.7,3.05,91945521,254207520,1084631210,1084631210.0,1084631210.0
7/22/2019,DOD-W1,2.84,2.92,2.68,2.74,1.48,51104149,142779230,1227410440,1227410440.0,1227410440.0
7/23/2019,DOD-W1,2.82,3.08,2.8,3.06,11.68,159410198,470399990,1697810430,1697810430.0,1697810430.0
7/24/2019,DOD-W1,3.02,3.1,2.98,3.06,0.0,56029131,170997160,1402955640,1868807590.0,1868807590.0
7/25/2019,DOD-W1,3.14,3.14,2.78,2.82,-7.84,41087421,123048740,1161432640,1991856330.0,1991856330.0
7/26/2019,DOD-W1,2.82,2.94,2.74,2.74,-2.84,17892091,50936300,958161420,2042792630.0,2042792630.0
7/30/2019,DOD-W1,2.66,2.7,2.14,2.28,-16.79,14204600,33097700,848479890,2075890330.0,2075890330.0
7/31/2019,DOD-W1,2.32,2.5,2.28,2.46,7.89,5812304,14119590,392199490,2090009920.0,2090009920.0
8/1/2019,DOD-W1,2.44,2.44,2.3,2.4,-2.44,3261119,7676310,228878640,2097686230.0,2097686230.0
8/2/2019,DOD-W1,2.26,2.28,1.97,2.1,-12.5,17283231,36114500,141944400,2133800730.0,2133800730.0
8/5/2019,DOD-W1,2.1,2.18,2.0,2.12,0.95,4633954,9802820,100810920,2143603550.0,2143603550.0
8/6/2019,DOD-W1,2.06,2.24,2.06,2.24,5.66,5455453,11833340,79546560,1689584940.0,2155436890.0
8/7/2019,DOD-W1,2.24,2.28,2.1,2.12,-5.36,2754102,6023490,71450460,1331036690.0,2161460380.0
8/8/2019,DOD-W1,2.14,2.28,2.1,2.16,1.89,4347821,9582690,73356840,1086411860.0,2171043070.0
8/9/2019,DOD-W1,2.2,2.2,2.08,2.08,-3.7,3179359,6765720,44008060,950398350.0,2177808790.0
8/13/2019,DOD-W1,2.04,2.12,1.98,1.99,-4.33,2757744,5522440,39727680,485520800.0,2183331230.0
8/14/2019,DOD-W1,1.99,2.14,1.99,2.06,3.52,5699622,11884840,39779180,326408480.0,2195216070.0
