Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D
7/26/2019,ILM,22.3,23.6,22.2,22.9,4.09,121380517,2767247220,2767247220,2767247220.0,2767247220.0
7/30/2019,ILM,22.9,23.8,22.5,22.5,-1.75,62597908,1450589810,4217837030,4217837030.0,4217837030.0
7/31/2019,ILM,22.6,22.8,22.2,22.3,-0.89,25702064,578774720,4796611750,4796611750.0,4796611750.0
8/1/2019,ILM,22.3,22.6,22.0,22.0,-1.35,15224528,339381450,5135993200,5135993200.0,5135993200.0
8/2/2019,ILM,21.8,22.5,21.6,22.3,1.36,16177615,357451340,5493444540,5493444540.0,5493444540.0
8/5/2019,ILM,22.3,22.7,22.2,22.2,-0.45,12094113,271141050,2997338370,5764585590.0,5764585590.0
8/6/2019,ILM,22.1,23.4,22.1,23.4,5.41,24047523,547749840,2094498400,6312335430.0,6312335430.0
8/7/2019,ILM,23.4,23.6,22.5,22.5,-3.85,18929434,434911730,1950635410,6747247160.0,6747247160.0
8/8/2019,ILM,22.7,22.8,22.3,22.3,-0.89,8249676,185777540,1797031500,6933024700.0,6933024700.0
8/9/2019,ILM,22.4,22.6,21.8,21.8,-2.24,9178841,203823430,1643403590,7136848130.0,7136848130.0
8/13/2019,ILM,21.8,22.2,21.6,21.7,-0.46,3623115,79156040,1451418580,7216004170.0,7216004170.0
8/14/2019,ILM,22.1,22.2,21.6,21.7,0.0,4442206,97378970,1001047710,7313383140.0,7313383140.0
