Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,Vol5
8/6/2019,PRIME-W2,0.04,0.05,0.04,0.04,-20.0,1615600,64630,64630,64630.0,64630.0,0.04,1615600.0
8/8/2019,PRIME-W2,0.03,0.04,0.03,0.04,0.0,564300,16970,81600,81600.0,81600.0,0.04,1089950.0
8/9/2019,PRIME-W2,0.04,0.04,0.04,0.04,0.0,2478000,99120,180720,180720.0,180720.0,0.04,1552633.3333333333
8/14/2019,PRIME-W2,0.03,0.04,0.03,0.04,0.0,250200,7510,123600,188230.0,188230.0,0.04,1227025.0
