Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D
1/5/2015,TLUXE-W2,0.59,0.64,0.57,0.59,-9.23,1103484,655000,2048000,8814000.0,167657000.0
1/6/2015,TLUXE-W2,0.59,0.62,0.57,0.58,-1.69,1328800,771000,2016000,6889000.0,166029000.0
1/7/2015,TLUXE-W2,0.59,0.62,0.58,0.62,6.9,993700,593000,2572000,7329000.0,164441000.0
1/8/2015,TLUXE-W2,0.64,0.98,0.64,0.94,51.61,21376734,18952000,21373000,25951000.0,180687000.0
1/9/2015,TLUXE-W2,1.04,1.19,0.93,0.96,2.13,16918482,17452000,38423000,42144000.0,196553000.0
1/12/2015,TLUXE-W2,0.97,2.06,0.97,1.79,86.46,164633269,273073000,310841000,314367000.0,468941000.0
1/13/2015,TLUXE-W2,1.63,1.87,1.41,1.78,-0.56,22193666,36095000,346165000,349819000.0,504608000.0
1/14/2015,TLUXE-W2,1.79,1.89,1.45,1.72,-3.37,12323627,21277000,366849000,370774000.0,524171000.0
1/15/2015,TLUXE-W2,1.7,2.64,1.48,2.1,22.09,82266107,158908000,506805000,529169000.0,682356000.0
1/16/2015,TLUXE-W2,2.18,3.4,2.1,3.4,61.9,78448857,224995000,714348000,753361000.0,906809000.0
1/19/2015,TLUXE-W2,3.6,4.58,3.0,4.58,34.71,84060352,336540000,777815000,1089864000.0,1239577000.0
1/20/2015,TLUXE-W2,4.22,4.58,4.0,4.26,-6.99,27415911,117812000,859532000,1207525000.0,1289271000.0
1/21/2015,TLUXE-W2,4.14,4.24,3.5,3.68,-13.62,7940100,30967000,869222000,1238090000.0,1292091000.0
1/22/2015,TLUXE-W2,3.3,4.34,2.9,3.94,7.07,15911511,59962000,770276000,1297397000.0,1336239000.0
1/23/2015,TLUXE-W2,3.7,4.04,3.5,3.9,-1.02,4791893,18171000,563452000,1314797000.0,1349795000.0
1/26/2015,TLUXE-W2,4.1,4.56,4.0,4.3,10.26,15689850,67085000,293997000,1381289000.0,1412478000.0
