Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,Money5
7/1/2019,BLISS,0.11,0.19,0.11,0.15,0.0,654895296,88900470,88900470,88900470.0,88900470.0,88900470.0
7/2/2019,BLISS,0.15,0.15,0.13,0.14,-6.67,223712360,31913000,120813470,120813470.0,120813470.0,60406735.0
7/3/2019,BLISS,0.14,0.18,0.13,0.16,14.29,416513797,66819010,187632480,187632480.0,187632480.0,62544160.0
7/4/2019,BLISS,0.17,0.17,0.15,0.16,0.0,86670995,13743560,201376040,201376040.0,201376040.0,50344010.0
7/5/2019,BLISS,0.15,0.15,0.14,0.14,-12.5,134602871,19416250,220792290,220792290.0,220792290.0,44158458.0
7/8/2019,BLISS,0.13,0.14,0.12,0.12,-14.29,109476311,14154470,146046290,234946760.0,234946760.0,29209258.0
7/9/2019,BLISS,0.12,0.13,0.1,0.12,0.0,112111458,12820330,126953620,247767090.0,247767090.0,25390724.0
7/10/2019,BLISS,0.11,0.13,0.11,0.13,8.33,42812063,5126470,65261080,252893560.0,252893560.0,13052216.0
7/11/2019,BLISS,0.13,0.13,0.12,0.13,0.0,7221725,889460,52406980,253783020.0,253783020.0,10481396.0
7/12/2019,BLISS,0.13,0.15,0.13,0.15,15.38,95864093,13321810,46312540,267104830.0,267104830.0,9262508.0
7/15/2019,BLISS,0.15,0.15,0.13,0.14,-6.67,571951205,106660270,138818340,373765100.0,373765100.0,27763668.0
7/17/2019,BLISS,0.15,0.15,0.13,0.14,0.0,49555090,6961020,132959030,380726120.0,380726120.0,26591806.0
7/18/2019,BLISS,0.13,0.14,0.13,0.14,0.0,14067357,1840960,129673520,382567080.0,382567080.0,25934704.0
7/19/2019,BLISS,0.14,0.14,0.13,0.13,-7.14,48597978,6768580,135552640,300435190.0,389335660.0,27110528.0
7/22/2019,BLISS,0.14,0.14,0.13,0.13,0.0,34623676,4681490,126912320,273203680.0,394017150.0,25382464.0
7/23/2019,BLISS,0.13,0.14,0.12,0.13,0.0,42212881,5488470,25740520,211873140.0,399505620.0,5148104.0
7/24/2019,BLISS,0.13,0.14,0.12,0.12,-7.69,21929929,2795880,21575380,200925460.0,402301500.0,4315076.0
7/25/2019,BLISS,0.12,0.13,0.12,0.12,0.0,14321124,1746610,21481030,183255820.0,404048110.0,4296206.0
7/26/2019,BLISS,0.13,0.13,0.12,0.12,0.0,63853065,7723410,22435860,176824760.0,411771520.0,4487172.0
7/30/2019,BLISS,0.12,0.13,0.11,0.11,-8.33,99588927,11752080,29506450,175756510.0,423523600.0,5901290.0
7/31/2019,BLISS,0.11,0.14,0.11,0.14,27.27,258645996,33779930,57797910,204409970.0,457303530.0,11559582.0
