Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,Money5
1/5/2015,WAT-W1,0.03,0.04,0.02,0.03,0.0,24579700,739000,3131000,10485000.0,22560000.0,739000.0
1/6/2015,WAT-W1,0.02,0.04,0.02,0.02,-33.33,194577430,4609000,7531000,10604000.0,26693000.0,2674000.0
1/7/2015,WAT-W1,0.02,0.03,0.01,0.01,-50.0,40801500,765000,7986000,10556000.0,26519000.0,2037666.6666666667
1/8/2015,WAT-W1,0.02,0.02,0.01,0.01,0.0,59113800,675000,7462000,10956000.0,25810000.0,1697000.0
1/9/2015,WAT-W1,0.01,0.02,0.01,0.01,0.0,216399800,2181000,8969000,12913000.0,27240000.0,1793800.0
1/12/2015,WAT-W1,0.01,0.01,0.01,0.01,0.0,47442000,474000,8704000,13000000.0,27457000.0,1740800.0
1/13/2015,WAT-W1,0.01,0.01,0.01,0.01,0.0,28703500,287000,4382000,12755000.0,26829000.0,876400.0
1/14/2015,WAT-W1,0.01,0.01,0.01,0.01,0.0,94083900,941000,4558000,13396000.0,27062000.0,911600.0
1/15/2015,WAT-W1,0.01,0.01,0.01,0.01,0.0,18088400,181000,4064000,13244000.0,27063000.0,812800.0
1/16/2015,WAT-W1,0.01,0.01,0.01,0.01,0.0,868603,9000,1892000,13044000.0,26970000.0,378400.0
1/19/2015,WAT-W1,0.01,0.01,0.01,0.01,0.0,3383403,34000,1452000,12768000.0,26687000.0,290400.0
