Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,Money5
1/5/2015,M-AAA,0.4,0.4,0.4,0.4,-28.57,2425160,970000,63273000,94326000.0,115560000.0,970000.0
1/6/2015,M-AAA,0.28,0.28,0.28,0.28,-30.0,2807002,786000,10575000,94552000.0,116346000.0,878000.0
1/7/2015,M-AAA,0.26,0.36,0.26,0.35,25.0,34538189,11838000,17462000,106164000.0,128080000.0,4531333.333333333
1/8/2015,M-AAA,0.38,0.39,0.33,0.33,-5.71,11570301,4062000,20376000,110043000.0,132142000.0,4414000.0
1/9/2015,M-AAA,0.33,0.33,0.29,0.3,-9.09,5550101,1679000,19335000,110363000.0,133820000.0,3867000.0
1/12/2015,M-AAA,0.26,0.3,0.26,0.27,-10.0,9353935,2603000,20968000,112519000.0,135233000.0,4193600.0
1/13/2015,M-AAA,0.28,0.29,0.26,0.26,-3.7,9143001,2501000,22683000,114669000.0,137729000.0,4536600.0
1/14/2015,M-AAA,0.27,0.27,0.23,0.23,-11.54,8937860,2223000,13068000,109125000.0,139945000.0,2613600.0
1/15/2015,M-AAA,0.25,0.25,0.2,0.23,0.0,8315201,1812000,10818000,90777000.0,141757000.0,2163600.0
1/16/2015,M-AAA,0.23,0.23,0.21,0.21,-8.7,2904601,636000,9775000,37929000.0,142038000.0,1955000.0
1/19/2015,M-AAA,0.2,0.21,0.18,0.19,-9.52,6504300,1252000,8424000,34230000.0,142470000.0,1684800.0
1/20/2015,M-AAA,0.18,0.2,0.18,0.18,-5.26,2653700,503000,6426000,33585000.0,142942000.0,1285200.0
1/21/2015,M-AAA,0.18,0.19,0.17,0.17,-5.56,2777101,504000,4707000,31369000.0,142860000.0,941400.0
1/22/2015,M-AAA,0.17,0.17,0.14,0.15,-11.76,6884146,1037000,3932000,31436000.0,143897000.0,786400.0
1/23/2015,M-AAA,0.14,0.15,0.13,0.15,0.0,2793600,391000,3687000,31041000.0,144288000.0,737400.0
1/26/2015,M-AAA,0.14,0.14,0.12,0.13,-13.33,5521400,709000,3144000,19912000.0,144642000.0,628800.0
1/27/2015,M-AAA,0.12,0.14,0.12,0.12,-7.69,3137200,404000,3045000,16254000.0,144518000.0,609000.0
1/28/2015,M-AAA,0.12,0.12,0.1,0.1,-16.67,9271200,984000,3525000,15559000.0,143654000.0,705000.0
1/29/2015,M-AAA,0.1,0.11,0.09,0.11,10.0,4642701,467000,2955000,13423000.0,140514000.0,591000.0
1/30/2015,M-AAA,0.11,0.11,0.09,0.09,-18.18,6936800,656000,3220000,11578000.0,132567000.0,644000.0
2/2/2015,M-AAA,0.09,0.11,0.08,0.08,-11.11,32615100,2924000,5435000,12279000.0,132919000.0,1087000.0
2/3/2015,M-AAA,0.08,0.1,0.08,0.09,12.5,9836101,869000,5900000,11336000.0,133166000.0,1180000.0
2/4/2015,M-AAA,0.09,0.1,0.09,0.09,0.0,7458501,677000,5593000,11377000.0,133283000.0,1118600.0
