Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D
7/1/2019,PRO,0.31,0.46,0.22,0.35,0.0,261244899,83680890,83680890,83680890.0,83680890.0
7/2/2019,PRO,0.35,0.45,0.34,0.45,28.57,165559430,67190160,150871050,150871050.0,150871050.0
7/3/2019,PRO,0.44,0.48,0.4,0.43,-4.44,120281184,53705280,204576330,204576330.0,204576330.0
7/4/2019,PRO,0.42,0.42,0.38,0.39,-9.3,36468004,14523410,219099740,219099740.0,219099740.0
7/5/2019,PRO,0.39,0.42,0.37,0.39,0.0,26649003,10677480,229777220,229777220.0,229777220.0
7/8/2019,PRO,0.4,0.4,0.34,0.35,-10.26,21343861,7820140,153916470,237597360.0,237597360.0
7/9/2019,PRO,0.38,0.38,0.27,0.3,-14.29,32498748,10128540,96854850,247725900.0,247725900.0
7/10/2019,PRO,0.3,0.33,0.3,0.33,10.0,5514447,1707460,44857030,249433360.0,249433360.0
7/11/2019,PRO,0.32,0.35,0.32,0.35,6.06,7809885,2676230,33009850,252109590.0,252109590.0
7/12/2019,PRO,0.34,0.36,0.34,0.35,0.0,3919100,1351520,23683890,253461110.0,253461110.0
7/15/2019,PRO,0.35,0.38,0.35,0.35,0.0,4896139,1763360,17627110,255224470.0,255224470.0
7/17/2019,PRO,0.37,0.37,0.35,0.35,0.0,2398800,864930,8363500,256089400.0,256089400.0
7/18/2019,PRO,0.36,0.36,0.34,0.35,0.0,8587428,3005450,9661490,259094850.0,259094850.0
7/19/2019,PRO,0.35,0.35,0.34,0.35,0.0,4347055,1521130,8506390,176935090.0,260615980.0
7/22/2019,PRO,0.35,0.35,0.34,0.34,-2.86,12579501,4368080,11522950,114113010.0,264984060.0
7/23/2019,PRO,0.35,0.36,0.35,0.35,2.94,7220100,2541360,12300950,62949090.0,267525420.0
7/24/2019,PRO,0.35,0.36,0.35,0.35,0.0,8073800,2848830,14284850,51274510.0,270374250.0
7/25/2019,PRO,0.35,0.38,0.35,0.35,0.0,10362200,3755250,15034650,44352280.0,274129500.0
7/26/2019,PRO,0.36,0.37,0.35,0.36,2.86,13032793,4763610,18277130,41295750.0,278893110.0
7/30/2019,PRO,0.36,0.37,0.34,0.34,-5.56,34789729,12390420,26299470,43557630.0,291283530.0
7/31/2019,PRO,0.34,0.35,0.32,0.35,2.94,37025203,12567050,36325160,54417220.0,303850580.0
