Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D
7/31/2019,SEG,36.0,36.5,34.75,36.5,0.0,985143,35540200,35540200,35540200.0,35540200.0
8/1/2019,SEG,36.5,37.0,36.25,36.5,0.0,625871,22903730,58443930,58443930.0,58443930.0
8/2/2019,SEG,36.5,36.75,36.5,36.75,0.68,137101,5014110,63458040,63458040.0,63458040.0
8/5/2019,SEG,36.75,36.75,36.0,36.5,-0.68,398402,14582120,78040160,78040160.0,78040160.0
8/6/2019,SEG,36.25,36.5,36.25,36.5,0.0,174300,6360700,84400860,84400860.0,84400860.0
8/7/2019,SEG,36.5,36.75,36.5,36.5,0.0,174103,6355260,55215920,90756120.0,90756120.0
8/8/2019,SEG,36.75,36.75,36.5,36.5,0.0,54900,2004350,34316540,92760470.0,92760470.0
8/9/2019,SEG,36.5,36.75,36.5,36.5,0.0,301200,10993820,40296250,103754290.0,103754290.0
8/13/2019,SEG,36.5,36.5,36.5,36.5,0.0,324801,11855240,37569370,115609530.0,115609530.0
8/14/2019,SEG,36.25,36.5,36.0,36.5,0.0,17900,648850,31857520,116258380.0,116258380.0
