Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,Money5
7/1/2019,A5,2.7,2.72,1.5,1.81,0.0,4858166,10497700,10497700,10497700.0,10497700.0,10497700.0
7/2/2019,A5,1.8,2.02,1.67,1.72,-4.97,2871303,5267200,15764900,15764900.0,15764900.0,7882450.0
7/3/2019,A5,1.78,2.08,1.73,1.84,6.98,11359148,21877880,37642780,37642780.0,37642780.0,12547593.333333334
7/4/2019,A5,1.84,1.89,1.47,1.51,-17.93,1290001,2185770,39828550,39828550.0,39828550.0,9957137.5
7/5/2019,A5,1.5,1.56,1.45,1.48,-1.99,871701,1299940,41128490,41128490.0,41128490.0,8225698.0
7/8/2019,A5,1.47,1.49,1.24,1.25,-15.54,1107100,1493880,32124670,42622370.0,42622370.0,6424934.0
7/9/2019,A5,1.21,1.22,0.96,1.06,-15.2,940600,975520,27832990,43597890.0,43597890.0,5566598.0
7/10/2019,A5,1.06,1.1,1.02,1.09,2.83,210700,226210,6181320,43824100.0,43824100.0,1236264.0
7/11/2019,A5,1.08,1.17,1.06,1.17,7.34,220700,243080,4238630,44067180.0,44067180.0,847726.0
7/12/2019,A5,1.15,1.27,1.15,1.25,6.84,168000,206740,3145430,44273920.0,44273920.0,629086.0
7/15/2019,A5,1.24,1.27,1.2,1.26,0.8,377400,461380,2112930,44735300.0,44735300.0,422586.0
7/17/2019,A5,1.22,1.25,1.21,1.22,-3.17,93900,114530,1251940,44849830.0,44849830.0,250388.0
7/18/2019,A5,1.22,1.3,1.1,1.21,-0.82,460220,553180,1578910,45403010.0,45403010.0,315782.0
7/19/2019,A5,1.2,1.22,1.18,1.21,0.0,150200,180090,1515920,35085400.0,45583100.0,303184.0
7/22/2019,A5,1.21,1.25,1.2,1.25,3.31,707901,856720,2165900,30674920.0,46439820.0,433180.0
7/23/2019,A5,1.22,1.29,1.2,1.28,2.4,355700,447520,2152040,9244560.0,46887340.0,430408.0
7/24/2019,A5,1.28,1.35,1.26,1.35,5.47,375200,489240,2526750,7548030.0,47376580.0,505350.0
7/25/2019,A5,1.35,1.4,1.28,1.36,0.74,677000,913380,2886950,7161470.0,48289960.0,577390.0
7/26/2019,A5,1.2,1.38,1.2,1.35,-0.74,659400,865190,3572050,6532780.0,49155150.0,714410.0
7/30/2019,A5,1.2,1.45,1.2,1.45,7.41,1424130,1925920,4641250,7483180.0,51081070.0,928250.0
7/31/2019,A5,1.47,1.5,1.31,1.5,3.45,2166825,3140440,7334170,10397410.0,54221510.0,1466834.0
