Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,Money5
7/12/2019,AIMCG,10.1,10.1,9.8,10.0,0.0,19895330,198710080,198710080,198710080.0,198710080.0,198710080.0
7/15/2019,AIMCG,10.0,10.0,9.95,10.0,0.0,1274810,12746190,211456270,211456270.0,211456270.0,105728135.0
7/17/2019,AIMCG,9.95,9.95,9.9,9.9,-1.0,1908310,18969580,230425850,230425850.0,230425850.0,76808616.66666667
7/18/2019,AIMCG,9.9,9.95,9.85,9.9,0.0,1331982,13191990,243617840,243617840.0,243617840.0,60904460.0
7/19/2019,AIMCG,9.9,9.95,9.9,9.95,0.51,1157502,11465580,255083420,255083420.0,255083420.0,51016684.0
7/22/2019,AIMCG,9.95,9.95,9.9,9.9,-0.5,492700,4891650,61264990,259975070.0,259975070.0,12252998.0
7/23/2019,AIMCG,9.95,9.95,9.85,9.9,0.0,1058701,10482250,59001050,270457320.0,270457320.0,11800210.0
7/24/2019,AIMCG,9.85,9.9,9.85,9.9,0.0,1459700,14414430,54445900,284871750.0,284871750.0,10889180.0
7/25/2019,AIMCG,9.9,9.9,9.85,9.9,0.0,454200,4496160,45750070,289367910.0,289367910.0,9150014.0
7/26/2019,AIMCG,9.9,9.9,9.85,9.85,-0.51,1613800,15902430,50186920,305270340.0,305270340.0,10037384.0
7/30/2019,AIMCG,9.85,9.9,9.85,9.85,0.0,501000,4934940,50230210,310205280.0,310205280.0,10046042.0
7/31/2019,AIMCG,9.85,9.85,9.8,9.85,0.0,739100,7254140,47002100,317459420.0,317459420.0,9400420.0
8/1/2019,AIMCG,9.85,9.85,9.8,9.85,0.0,908800,8910040,41497710,326369460.0,326369460.0,8299542.0
8/2/2019,AIMCG,9.8,9.8,9.75,9.75,-1.02,733400,7162110,44163660,134821490.0,333531570.0,8832732.0
8/5/2019,AIMCG,9.75,9.8,9.75,9.75,0.0,640800,6248180,34509410,128323480.0,339779750.0,6901882.0
8/6/2019,AIMCG,9.7,9.8,9.7,9.75,0.0,734000,7151770,36726240,116505670.0,346931520.0,7345248.0
8/7/2019,AIMCG,9.75,9.8,9.75,9.8,0.51,88002,861110,30333210,104174790.0,347792630.0,6066642.0
8/8/2019,AIMCG,9.8,9.8,9.75,9.75,-0.51,596300,5827860,27251030,98537070.0,353620490.0,5450206.0
8/9/2019,AIMCG,9.75,9.8,9.7,9.75,0.0,465000,4534140,24623060,98179560.0,358154630.0,4924612.0
8/13/2019,AIMCG,9.8,9.8,9.7,9.7,-0.51,509200,4964580,23339460,92661890.0,363119210.0,4667892.0
8/14/2019,AIMCG,9.75,9.75,9.7,9.75,0.52,670100,6533170,22720860,84780630.0,369652380.0,4544172.0
