Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,Money5
7/31/2018,NPPG-W3,0.2,0.2,0.18,0.19,0.0,2564633,486190,486190,486190.0,486190.0,486190.0
8/1/2018,NPPG-W3,0.17,0.18,0.15,0.16,-15.79,14494475,2423450,2909640,2909640.0,2909640.0,1454820.0
8/2/2018,NPPG-W3,0.17,0.25,0.17,0.19,18.75,39104600,8274390,11184030,11184030.0,11184030.0,3728010.0
8/3/2018,NPPG-W3,0.2,0.21,0.18,0.18,-5.26,17059350,3291490,14475520,14475520.0,14475520.0,3618880.0
8/6/2018,NPPG-W3,0.19,0.19,0.16,0.16,-11.11,1807301,303630,14779150,14779150.0,14779150.0,2955830.0
8/7/2018,NPPG-W3,0.16,0.17,0.12,0.13,-18.75,7603611,1081560,15374520,15860710.0,15860710.0,3074904.0
8/8/2018,NPPG-W3,0.13,0.13,0.06,0.09,-30.77,8112600,731780,13682850,16592490.0,16592490.0,2736570.0
8/9/2018,NPPG-W3,0.1,0.1,0.06,0.07,-22.22,3444194,262570,5671030,16855060.0,16855060.0,1134206.0
8/10/2018,NPPG-W3,0.07,0.12,0.07,0.09,28.57,8818257,871160,3250700,17726220.0,17726220.0,650140.0
8/14/2018,NPPG-W3,0.09,0.12,0.09,0.11,22.22,12516609,1309070,4256140,19035290.0,19035290.0,851228.0
