Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,Vol5,Money5,Status
5/15/2019,B52-W2,0.01,0.01,0.01,0.01,0.0,1012000,10120,10120,10120.0,10120.0,0.01,1012000.0,10120.0,0.0
6/11/2019,B52-W2,0.01,0.01,0.01,0.01,0.0,200000,2000,2000,2000.0,12120.0,0.01,606000.0,6060.0,0.0
7/1/2019,B52-W2,0.01,0.01,0.01,0.01,0.0,100000,1000,1000,1000.0,13120.0,0.01,437333.33333333326,4373.333333333333,0.0
7/12/2019,B52-W2,0.01,0.01,0.01,0.01,0.0,100000,1000,1000,2000.0,4000.0,0.01,353000.0,3530.0,0.0
