Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D
7/11/2019,PERM-W1,0.44,0.55,0.38,0.41,0.0,253744107,118851750,118851750,118851750.0,118851750.0
7/12/2019,PERM-W1,0.43,0.44,0.39,0.41,0.0,38097523,15670550,134522300,134522300.0,134522300.0
7/15/2019,PERM-W1,0.41,0.5,0.4,0.48,17.07,114171086,53126180,187648480,187648480.0,187648480.0
7/17/2019,PERM-W1,0.47,0.48,0.43,0.44,-8.33,40269009,18184340,205832820,205832820.0,205832820.0
7/18/2019,PERM-W1,0.43,0.48,0.42,0.43,-2.27,58736000,26343530,232176350,232176350.0,232176350.0
7/19/2019,PERM-W1,0.44,0.44,0.42,0.43,0.0,15165190,6569930,119894530,238746280.0,238746280.0
7/22/2019,PERM-W1,0.44,0.47,0.43,0.44,2.33,26054610,11608160,115832140,250354440.0,250354440.0
7/23/2019,PERM-W1,0.45,0.46,0.43,0.43,-2.27,29202500,12889380,75595340,263243820.0,263243820.0
7/24/2019,PERM-W1,0.44,0.44,0.4,0.4,-6.98,15265451,6326010,63737010,269569830.0,269569830.0
7/25/2019,PERM-W1,0.41,0.42,0.39,0.4,0.0,10210400,4148510,41541990,273718340.0,273718340.0
7/26/2019,PERM-W1,0.4,0.41,0.36,0.37,-7.5,8194950,3152260,38124320,276870600.0,276870600.0
7/30/2019,PERM-W1,0.38,0.38,0.33,0.33,-10.81,11480800,4016280,30532440,280886880.0,280886880.0
7/31/2019,PERM-W1,0.34,0.36,0.33,0.34,3.03,12621421,4331370,21974430,285218250.0,285218250.0
8/1/2019,PERM-W1,0.34,0.34,0.32,0.33,-2.94,5219400,1728310,17376730,168094810.0,286946560.0
8/2/2019,PERM-W1,0.32,0.32,0.3,0.31,-6.06,3685000,1149780,14378000,153574040.0,288096340.0
8/5/2019,PERM-W1,0.31,0.32,0.3,0.3,-3.23,2721000,828370,12054110,101276230.0,288924710.0
8/6/2019,PERM-W1,0.3,0.33,0.29,0.32,6.67,9964000,3168490,11206320,86260380.0,292093200.0
8/7/2019,PERM-W1,0.32,0.33,0.31,0.32,0.0,4134800,1335670,8210620,61252520.0,293428870.0
8/8/2019,PERM-W1,0.32,0.33,0.32,0.32,0.0,5285500,1713290,8195600,56395880.0,295142160.0
8/9/2019,PERM-W1,0.33,0.33,0.31,0.31,-3.12,2756200,879160,7924980,45666880.0,296021320.0
8/13/2019,PERM-W1,0.31,0.38,0.31,0.36,16.13,40259700,14189490,21286100,46966990.0,310210810.0
8/14/2019,PERM-W1,0.37,0.39,0.33,0.34,-5.56,25128690,9025860,27143470,49666840.0,319236670.0
